Ground truth pos_x: 10.990000, Ground truth v_x: 3.000000, Ground truth pos_y: 21.980000, Ground truth v_y: 6.000000, Measurement pos_x: 10.234166 , Measurement pos_y: 22.315600, Estimated pos_x: 11.046237, Estimated v_x: 1.116803, Estimated pos_y: 21.698799, Estimated v_y: 1.912054, Kalman gain1: 0.621841, Kalman gain2: 0.618690, Time taken for Kalman Filter: 0.630000 seconds
Ground truth pos_x: 11.020000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.040000, Ground truth v_y: 6.000000, Measurement pos_x: 11.116026 , Measurement pos_y: 21.795438, Estimated pos_x: 10.545482, Estimated v_x: 0.607533, Estimated pos_y: 22.090219, Estimated v_y: 2.387513, Kalman gain1: 0.621840, Kalman gain2: 0.618616, Time taken for Kalman Filter: 0.648000 seconds
Ground truth pos_x: 11.050000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.100000, Ground truth v_y: 6.000000, Measurement pos_x: 10.941732 , Measurement pos_y: 21.859837, Estimated pos_x: 10.902567, Estimated v_x: 0.956683, Estimated pos_y: 21.915589, Estimated v_y: 2.132129, Kalman gain1: 0.621840, Kalman gain2: 0.618544, Time taken for Kalman Filter: 0.668000 seconds
Ground truth pos_x: 11.080000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.160000, Ground truth v_y: 6.000000, Measurement pos_x: 11.431755 , Measurement pos_y: 22.160686, Estimated pos_x: 10.930539, Estimated v_x: 0.974989, Estimated pos_y: 21.888895, Estimated v_y: 2.069903, Kalman gain1: 0.621840, Kalman gain2: 0.618473, Time taken for Kalman Filter: 0.687000 seconds
Ground truth pos_x: 11.110000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.220000, Ground truth v_y: 6.000000, Measurement pos_x: 11.184429 , Measurement pos_y: 22.033569, Estimated pos_x: 11.245902, Estimated v_x: 1.278913, Estimated pos_y: 22.066028, Estimated v_y: 2.274115, Kalman gain1: 0.621839, Kalman gain2: 0.618403, Time taken for Kalman Filter: 0.705000 seconds
Ground truth pos_x: 11.140000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.280000, Ground truth v_y: 6.000000, Measurement pos_x: 11.057015 , Measurement pos_y: 22.361419, Estimated pos_x: 11.212512, Estimated v_x: 1.232994, Estimated pos_y: 22.054377, Estimated v_y: 2.228893, Kalman gain1: 0.621839, Kalman gain2: 0.618335, Time taken for Kalman Filter: 0.725000 seconds
Ground truth pos_x: 11.170000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.340000, Ground truth v_y: 6.000000, Measurement pos_x: 11.436176 , Measurement pos_y: 22.009251, Estimated pos_x: 11.120480, Estimated v_x: 1.129232, Estimated pos_y: 22.254092, Estimated v_y: 2.463856, Kalman gain1: 0.621838, Kalman gain2: 0.618268, Time taken for Kalman Filter: 0.745000 seconds
Ground truth pos_x: 11.200000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.400000, Ground truth v_y: 6.000000, Measurement pos_x: 11.646585 , Measurement pos_y: 21.966582, Estimated pos_x: 11.321062, Estimated v_x: 1.317414, Estimated pos_y: 22.110811, Estimated v_y: 2.239900, Kalman gain1: 0.621838, Kalman gain2: 0.618202, Time taken for Kalman Filter: 0.764000 seconds
Ground truth pos_x: 11.230000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.460000, Ground truth v_y: 6.000000, Measurement pos_x: 11.283230 , Measurement pos_y: 22.934382, Estimated pos_x: 11.528467, Estimated v_x: 1.510489, Estimated pos_y: 22.029374, Estimated v_y: 2.100434, Kalman gain1: 0.621837, Kalman gain2: 0.618138, Time taken for Kalman Filter: 0.783000 seconds
Ground truth pos_x: 11.260000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.520000, Ground truth v_y: 6.000000, Measurement pos_x: 11.173200 , Measurement pos_y: 21.850381, Estimated pos_x: 11.381681, Estimated v_x: 1.349579, Estimated pos_y: 22.601286, Estimated v_y: 2.845566, Kalman gain1: 0.621837, Kalman gain2: 0.618075, Time taken for Kalman Filter: 0.802000 seconds
Ground truth pos_x: 11.290000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.580000, Ground truth v_y: 6.000000, Measurement pos_x: 10.928949 , Measurement pos_y: 22.170680, Estimated pos_x: 11.257144, Estimated v_x: 1.212394, Estimated pos_y: 22.144019, Estimated v_y: 2.184027, Kalman gain1: 0.621837, Kalman gain2: 0.618013, Time taken for Kalman Filter: 0.821000 seconds
Ground truth pos_x: 11.320000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.640000, Ground truth v_y: 6.000000, Measurement pos_x: 11.631528 , Measurement pos_y: 22.806272, Estimated pos_x: 11.057645, Estimated v_x: 1.002093, Estimated pos_y: 22.168864, Estimated v_y: 2.188148, Kalman gain1: 0.621836, Kalman gain2: 0.617953, Time taken for Kalman Filter: 0.839000 seconds
Ground truth pos_x: 11.350000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.700000, Ground truth v_y: 6.000000, Measurement pos_x: 11.365338 , Measurement pos_y: 22.584953, Estimated pos_x: 11.418295, Estimated v_x: 1.350499, Estimated pos_y: 22.574406, Estimated v_y: 2.717901, Kalman gain1: 0.621836, Kalman gain2: 0.617894, Time taken for Kalman Filter: 0.859000 seconds
Ground truth pos_x: 11.380000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.760000, Ground truth v_y: 6.000000, Measurement pos_x: 11.881692 , Measurement pos_y: 23.464588, Estimated pos_x: 11.390472, Estimated v_x: 1.309436, Estimated pos_y: 22.591218, Estimated v_y: 2.703488, Kalman gain1: 0.621836, Kalman gain2: 0.617835, Time taken for Kalman Filter: 0.878000 seconds
Ground truth pos_x: 11.410000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.820000, Ground truth v_y: 6.000000, Measurement pos_x: 11.448624 , Measurement pos_y: 23.034188, Estimated pos_x: 11.700882, Estimated v_x: 1.604812, Estimated pos_y: 23.145838, Estimated v_y: 3.441892, Kalman gain1: 0.621835, Kalman gain2: 0.617779, Time taken for Kalman Filter: 0.897000 seconds
Ground truth pos_x: 11.440000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.880000, Ground truth v_y: 6.000000, Measurement pos_x: 11.039012 , Measurement pos_y: 23.113120, Estimated pos_x: 11.550088, Estimated v_x: 1.439074, Estimated pos_y: 23.089196, Estimated v_y: 3.313588, Kalman gain1: 0.621835, Kalman gain2: 0.617723, Time taken for Kalman Filter: 0.914000 seconds
Ground truth pos_x: 11.470000, Ground truth v_x: 3.000000, Ground truth pos_y: 22.940000, Ground truth v_y: 6.000000, Measurement pos_x: 11.661133 , Measurement pos_y: 23.306423, Estimated pos_x: 11.237725, Estimated v_x: 1.114510, Estimated pos_y: 23.116588, Estimated v_y: 3.305442, Kalman gain1: 0.621835, Kalman gain2: 0.617668, Time taken for Kalman Filter: 0.933000 seconds
Ground truth pos_x: 11.500000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.000000, Ground truth v_y: 6.000000, Measurement pos_x: 11.790337 , Measurement pos_y: 23.463483, Estimated pos_x: 11.505229, Estimated v_x: 1.369129, Estimated pos_y: 23.247393, Estimated v_y: 3.445006, Kalman gain1: 0.621834, Kalman gain2: 0.617614, Time taken for Kalman Filter: 0.953000 seconds
Ground truth pos_x: 11.530000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.060000, Ground truth v_y: 6.000000, Measurement pos_x: 11.685706 , Measurement pos_y: 22.994591, Estimated pos_x: 11.687696, Estimated v_x: 1.536745, Estimated pos_y: 23.395099, Estimated v_y: 3.607773, Kalman gain1: 0.621834, Kalman gain2: 0.617562, Time taken for Kalman Filter: 0.972000 seconds
Ground truth pos_x: 11.560000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.120000, Ground truth v_y: 6.000000, Measurement pos_x: 11.856238 , Measurement pos_y: 22.747080, Estimated pos_x: 11.692270, Estimated v_x: 1.526027, Estimated pos_y: 23.158941, Estimated v_y: 3.213975, Kalman gain1: 0.621834, Kalman gain2: 0.617510, Time taken for Kalman Filter: 0.989000 seconds
Ground truth pos_x: 11.590000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.180000, Ground truth v_y: 6.000000, Measurement pos_x: 11.485114 , Measurement pos_y: 22.713052, Estimated pos_x: 11.800002, Estimated v_x: 1.617848, Estimated pos_y: 22.914205, Estimated v_y: 2.810870, Kalman gain1: 0.621833, Kalman gain2: 0.617460, Time taken for Kalman Filter: 1.007000 seconds
Ground truth pos_x: 11.620000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.240000, Ground truth v_y: 6.000000, Measurement pos_x: 11.411418 , Measurement pos_y: 23.445459, Estimated pos_x: 11.610312, Estimated v_x: 1.413444, Estimated pos_y: 22.799339, Estimated v_y: 2.601373, Kalman gain1: 0.621833, Kalman gain2: 0.617410, Time taken for Kalman Filter: 1.027000 seconds
Ground truth pos_x: 11.650000, Ground truth v_x: 3.000000, Ground truth pos_y: 23.300000, Ground truth v_y: 6.000000, Measurement pos_x: 11.352467 , Measurement pos_y: 23.424885, Estimated pos_x: 11.491978, Estimated v_x: 1.281928, Estimated pos_y: 23.212091, Estimated v_y: 3.171675, Kalman gain1: 0.621833, Kalman gain2: 0.617362, Time taken for Kalman Filter: 1.046000 seconds
